AKPAR,ValidationType,AddressLine1,AddressLine2,StreetNumberFrom,StreetNumberTo,City,State,ZipCode
189095,E,805 SCOTTY CT,,,,CRAMERTON,NC,28032
189096,E,807 SCOTTY CT,,,,CRAMERTON,NC,28032
189097,E,809 SCOTTY CT,,,,CRAMERTON,NC,28032
189098,E,811 SCOTTY CT,,,,CRAMERTON,NC,28032
189099,E,813 SCOTTY CT,,,,CRAMERTON,NC,28032
189100,E,815 SCOTTY CT,,,,CRAMERTON,NC,28032
189101,E,817 SCOTTY CT,,,,CRAMERTON,NC,28032
189102,E,812 SCOTTY CT,,,,CRAMERTON,NC,28032
189103,E,810 SCOTTY CT,,,,CRAMERTON,NC,28032
189104,E,808 SCOTTY CT,,,,CRAMERTON,NC,28032
189105,E,806 SCOTTY CT,,,,CRAMERTON,NC,28032
189106,E,804 SCOTTY CT,,,,CRAMERTON,NC,28032
189107,E,802 SCOTTY CT,,,,CRAMERTON,NC,28032
189108,E,704 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189109,E,702 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189110,E,700 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189111,E,701 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189112,E,703 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189113,E,705 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189114,E,707 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189115,E,709 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189116,E,711 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189117,E,713 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189118,E,715 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189119,E,717 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189120,E,719 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189121,E,721 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189122,E,723 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189123,E,725 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189124,E,727 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189125,E,729 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189129,E,1008 MIDDLETON CT,,,,CRAMERTON,NC,28032
189130,E,1006 MIDDLETON CT,,,,CRAMERTON,NC,28032
189131,E,1004 MIDDLETON CT,,,,CRAMERTON,NC,28032
189132,E,737 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189133,E,4010 FOXES TRL,,,,CRAMERTON,NC,28032
189134,E,4008 FOXES TRL,,,,CRAMERTON,NC,28032
189135,E,4006 FOXES TRL,,,,CRAMERTON,NC,28032
189136,E,4004 FOXES TRL,,,,CRAMERTON,NC,28032
189137,E,4002 FOXES TRL,,,,CRAMERTON,NC,28032
189138,E,4000 FOXES TRL,,,,CRAMERTON,NC,28032
189139,E,4003 FOXES TRL,,,,CRAMERTON,NC,28032
189140,E,5012 HARSTONE CT,,,,CRAMERTON,NC,28032
189141,E,5010 HARSTONE CT,,,,CRAMERTON,NC,28032
189142,E,5008 HARSTONE CT,,,,CRAMERTON,NC,28032
189143,E,5006 HARSTONE CT,,,,CRAMERTON,NC,28032
189144,E,5004 HARSTONE CT,,,,CRAMERTON,NC,28032
189145,E,4007 FOXES TRL,,,,CRAMERTON,NC,28032
189146,E,4009 FOXES TRL,,,,CRAMERTON,NC,28032
189147,E,4011 FOXES TRL,,,,CRAMERTON,NC,28032
189148,E,4013 FOXES TRL,,,,CRAMERTON,NC,28032
189149,E,4015 FOXES TRL,,,,CRAMERTON,NC,28032
189150,E,4017 FOXES TRL,,,,CRAMERTON,NC,28032
189151,E,4019 FOXES TRL,,,,CRAMERTON,NC,28032
189152,E,4021 FOXES TRL,,,,CRAMERTON,NC,28032
189153,E,4023 FOXES TRL,,,,CRAMERTON,NC,28032
189154,E,4025 FOXES TRL,,,,CRAMERTON,NC,28032
189155,E,4027 FOXES TRL,,,,CRAMERTON,NC,28032
189156,E,4029 FOXES TRL,,,,CRAMERTON,NC,28032
189157,E,4030 FOXES TRL,,,,CRAMERTON,NC,28032
189158,E,4028 FOXES TRL,,,,CRAMERTON,NC,28032
189159,E,4026 FOXES TRL,,,,CRAMERTON,NC,28032
189160,E,4024 FOXES TRL,,,,CRAMERTON,NC,28032
189161,E,4022 FOXES TRL,,,,CRAMERTON,NC,28032
189162,E,4020 FOXES TRL,,,,CRAMERTON,NC,28032
189165,E,734 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189166,E,732 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189167,E,730 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189168,E,728 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189169,E,726 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189170,E,724 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189171,E,722 HANNA WOODS DR,,,,CRAMERTON,NC,28032
189413,E,1501 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
189481,E,908 STEEP HILL RD,,,,BELMONT,NC,28012
189494,E,928 STEEP HILL RD,,,,BELMONT,NC,28012
194639,E,359 PEACH ORCHARD RD,,,,BELMONT,NC,28012
194756,E,22 GROVES ST,,,,CRAMERTON,NC,28032
194758,E,16 GROVES ST,,,,CRAMERTON,NC,28032
194761,E,10 GROVES ST,,,,CRAMERTON,NC,28032
194765,E,325 PEACH ORCHARD RD,,,,BELMONT,NC,28012
194766,E,5921 WILKINSON BLVD,,,,BELMONT,NC,28012
194767,E,5907 WILKINSON BLVD,,,,BELMONT,NC,28012
194768,E,5803 WILKINSON BLVD,,,,BELMONT,NC,28012
194830,E,352 1/2 MAYFLOWER AVE,,,,CRAMERTON,NC,28032
194910,E,386 1/2 WOODLAWN AVE,,,,CRAMERTON,NC,28032
194965,E,288 PARK ST,,,,CRAMERTON,NC,28032
194974,E,289 SCOGGINS ST,,,,CRAMERTON,NC,28032
194979,E,286 PARK ST,,,,CRAMERTON,NC,28032
194980,E,285 PARK ST,,,,CRAMERTON,NC,28032
194986,E,287 SCOGGINS ST,,,,CRAMERTON,NC,28032
194987,E,288 SCOGGINS ST,,,,CRAMERTON,NC,28032
195033,E,485 LINCOLN ST,,,,CRAMERTON,NC,28032
195034,E,484 LINCOLN ST,,,,CRAMERTON,NC,28032
195035,E,483 LINCOLN ST,,,,CRAMERTON,NC,28032
195036,E,482 LINCOLN ST,,,,CRAMERTON,NC,28032
195037,E,480 LINCOLN ST,,,,CRAMERTON,NC,28032
195038,E,478 LINCOLN ST,,,,CRAMERTON,NC,28032
195039,E,479 LINCOLN ST,,,,CRAMERTON,NC,28032
195042,E,481 LINCOLN ST,,,,CRAMERTON,NC,28032
195043,E,384 1 WASHINGTON ST,,,,CRAMERTON,NC,28032
195044,E,486 HICKORY ST,,,,CRAMERTON,NC,28032
195045,E,487 HICKORY ST,,,,CRAMERTON,NC,28032
195046,E,488 LINCOLN ST,,,,CRAMERTON,NC,28032
195086,E,572 HIGH ST,,,,CRAMERTON,NC,28032
195088,E,574 HIGH ST,,,,CRAMERTON,NC,28032
195089,E,576 HIGH ST,,,,CRAMERTON,NC,28032
195090,E,578 HIGH ST,,,,CRAMERTON,NC,28032
195091,E,110 VICTORY LN,,,,CRAMERTON,NC,28032
195094,E,536 1/2 BROOKLYN AVE,,,,CRAMERTON,NC,28032
195115,E,580 HIGH ST,,,,CRAMERTON,NC,28032
195116,E,579 HIGH ST,,,,CRAMERTON,NC,28032
195117,E,577 HIGH ST,,,,CRAMERTON,NC,28032
195118,E,575 HIGH ST,,,,CRAMERTON,NC,28032
195119,E,573 HIGH ST,,,,CRAMERTON,NC,28032
195120,E,571 HIGH ST,,,,CRAMERTON,NC,28032
195140,E,204 DAVIS LN,,,,BELMONT,NC,28012
195141,E,206 DAVIS LN,,,,BELMONT,NC,28012
195142,E,210 DAVIS LN,,,,BELMONT,NC,28012
195143,E,209 DAVIS LN,,,,BELMONT,NC,28012
195144,E,207 DAVIS LN,,,,BELMONT,NC,28012
195145,E,205 DAVIS LN,,,,BELMONT,NC,28012
195146,E,203 DAVIS LN,,,,BELMONT,NC,28012
195147,E,201 DAVIS LN,,,,BELMONT,NC,28012
195148,E,200 DAVIS LN,,,,BELMONT,NC,28012
195149,E,202 DAVIS LN,,,,BELMONT,NC,28012
195154,E,300 GREENWOOD PL,,,,BELMONT,NC,28012
195155,E,302 GREENWOOD PL,,,,BELMONT,NC,28012
195156,E,304 GREENWOOD PL,,,,BELMONT,NC,28012
195157,E,306 GREENWOOD PL,,,,BELMONT,NC,28012
195158,E,308 GREENWOOD PL,,,,BELMONT,NC,28012
195159,E,301 GREENWOOD PL,,,,BELMONT,NC,28012
195167,E,101 TREELINE DR,,,,BELMONT,NC,28012
195168,E,401 RIDGEWAY DR,,,,BELMONT,NC,28012
195169,E,403 RIDGEWAY DR,,,,BELMONT,NC,28012
195170,E,405 RIDGEWAY DR,,,,BELMONT,NC,28012
195171,E,407 ROGERS CT,,,,BELMONT,NC,28012
195172,E,410 ROGERS CT,,,,BELMONT,NC,28012
195173,E,406 ROGERS CT,,,,BELMONT,NC,28012
195174,E,404 ROGERS CT,,,,BELMONT,NC,28012
195175,E,503 BENTLEY CT,,,,BELMONT,NC,28012
195176,E,505 BENTLEY CT,,,,BELMONT,NC,28012
195177,E,509 BENTLEY CT,,,,BELMONT,NC,28012
195179,E,510 BENTLEY CT,,,,BELMONT,NC,28012
195180,E,601 RIDGEWAY DR,,,,BELMONT,NC,28012
195181,E,603 RIDGEWAY DR,,,,BELMONT,NC,28012
195182,E,605 RIDGEWAY DR,,,,BELMONT,NC,28012
195183,E,609 RIDGEWAY DR,,,,BELMONT,NC,28012
195184,E,613 RIDGEWAY DR,,,,BELMONT,NC,28012
195185,E,615 RIDGEWAY DR,,,,BELMONT,NC,28012
195186,E,614 RIDGEWAY DR,,,,BELMONT,NC,28012
195187,E,612 RIDGEWAY DR,,,,BELMONT,NC,28012
195188,E,610 RIDGEWAY DR,,,,BELMONT,NC,28012
195189,E,606 RIDGEWAY DR,,,,BELMONT,NC,28012
195190,E,604 RIDGEWAY DR,,,,BELMONT,NC,28012
195191,E,602 RIDGEWAY DR,,,,BELMONT,NC,28012
195192,E,600 RIDGEWAY DR,,,,BELMONT,NC,28012
195193,E,506 RIDGEWAY DR,,,,BELMONT,NC,28012
195194,E,504 RIDGEWAY DR,,,,BELMONT,NC,28012
195195,E,502 RIDGEWAY DR,,,,BELMONT,NC,28012
195196,E,500 RIDGEWAY DR,,,,BELMONT,NC,28012
195197,E,404 RIDGEWAY DR,,,,BELMONT,NC,28012
195198,E,402 RIDGEWAY DR,,,,BELMONT,NC,28012
195199,E,400 RIDGEWAY DR,,,,BELMONT,NC,28012
195200,E,310 RIDGEWAY DR,,,,BELMONT,NC,28012
195201,E,102 TREELINE DR,,,,BELMONT,NC,28012
195202,E,100 TREELINE DR,,,,BELMONT,NC,28012
195205,E,321 LAKEWOOD RD,,,,BELMONT,NC,28012
195206,E,319 LAKEWOOD RD,,,,BELMONT,NC,28012
195207,E,311 LAKEWOOD RD,,,,BELMONT,NC,28012
195208,E,303 LAKEWOOD RD,,,,BELMONT,NC,28012
195209,E,317 LAKEWOOD RD,,,,BELMONT,NC,28012
195211,E,791 EAGLE RD,,,,BELMONT,NC,28012
195212,E,789 EAGLE RD,,,,BELMONT,NC,28012
195213,E,785 EAGLE RD,,,,BELMONT,NC,28012
195214,E,781 EAGLE RD,,,,BELMONT,NC,28012
195231,E,651 EAGLE RD,,,,BELMONT,NC,28012
195233,E,700 EAGLE RD,,,,BELMONT,NC,28012
195245,E,24 LAKE DR,,,,BELMONT,NC,28012
195246,E,28 LAKE DR,,,,BELMONT,NC,28012
195247,E,32 LAKE DR,,,,BELMONT,NC,28012
195249,E,213 OAK DR,,,,BELMONT,NC,28012
195250,E,210 OAK DR,,,,BELMONT,NC,28012
195251,E,211 OAK DR,,,,BELMONT,NC,28012
195252,E,208 OAK DR,,,,BELMONT,NC,28012
195253,E,209 OAK DR,,,,BELMONT,NC,28012
195254,E,206 OAK DR,,,,BELMONT,NC,28012
195255,E,207 OAK DR,,,,BELMONT,NC,28012
195256,E,204 OAK DR,,,,BELMONT,NC,28012
195257,E,205 OAK DR,,,,BELMONT,NC,28012
195258,E,200 OAK DR,,,,BELMONT,NC,28012
195260,E,100 OLD LAKEWOOD RD,,,,BELMONT,NC,28012
195261,E,102 OLD LAKEWOOD RD,,,,BELMONT,NC,28012
195262,E,104 OLD LAKEWOOD RD,,,,BELMONT,NC,28012
195263,E,106 OLD LAKEWOOD RD,,,,BELMONT,NC,28012
195264,E,108 OLD LAKEWOOD RD,,,,BELMONT,NC,28012
195265,E,110 OLD LAKEWOOD RD,,,,BELMONT,NC,28012
195266,E,112 OLD LAKEWOOD RD,,,,BELMONT,NC,28012
195267,E,114 LAKEWOOD RD,,,,BELMONT,NC,28012
195269,E,302 LAKEWOOD RD,,,,BELMONT,NC,28012
195270,E,306 LAKEWOOD RD,,,,BELMONT,NC,28012
195271,E,310 LAKEWOOD RD,,,,BELMONT,NC,28012
195272,E,312 LAKEWOOD RD,,,,BELMONT,NC,28012
195273,E,314 LAKEWOOD RD,,,,BELMONT,NC,28012
195284,E,1 JULIAN ST,,,,CRAMERTON,NC,28032
195299,E,2 JULIAN ST,,,,CRAMERTON,NC,28032
195313,E,226 POPLAR ST,,,,CRAMERTON,NC,28032
195316,E,227 POPLAR ST,,,,CRAMERTON,NC,28032
195372,E,211 FRONT ST,,,,CRAMERTON,NC,28032
195373,E,210 FRONT ST,,,,CRAMERTON,NC,28032
195374,E,209 FRONT ST,,,,CRAMERTON,NC,28032
195375,E,208 FRONT ST,,,,CRAMERTON,NC,28032
195376,E,207 FRONT ST,,,,CRAMERTON,NC,28032
195377,E,206 FRONT ST,,,,CRAMERTON,NC,28032
195378,E,205 FRONT ST,,,,CRAMERTON,NC,28032
195379,E,204 FRONT ST,,,,CRAMERTON,NC,28032
195380,E,203 FRONT ST,,,,CRAMERTON,NC,28032
195381,E,202 FRONT ST,,,,CRAMERTON,NC,28032
195382,E,201 FRONT ST,,,,CRAMERTON,NC,28032
195383,E,200 FRONT ST,,,,CRAMERTON,NC,28032
195384,E,199 FRONT ST,,,,CRAMERTON,NC,28032
195385,E,198 FRONT ST,,,,CRAMERTON,NC,28032
195386,E,197 FRONT ST,,,,CRAMERTON,NC,28032
195387,E,196 FRONT ST,,,,CRAMERTON,NC,28032
195388,E,195 FRONT ST,,,,CRAMERTON,NC,28032
195389,E,194 FRONT ST,,,,CRAMERTON,NC,28032
195394,E,201 TREELINE DR,,,,BELMONT,NC,28012
195396,E,207 TREELINE DR,,,,BELMONT,NC,28012
195397,E,407 HOLLY DR,,,,BELMONT,NC,28012
195398,E,411 HOLLY DR,,,,BELMONT,NC,28012
195399,E,415 HOLLY DR,,,,BELMONT,NC,28012
195400,E,419 HOLLY DR,,,,BELMONT,NC,28012
195401,E,421 HOLLY DR,,,,BELMONT,NC,28012
195402,E,425 HOLLY DR,,,,BELMONT,NC,28012
195403,E,429 HOLLY DR,,,,BELMONT,NC,28012
195404,E,431 HOLLY DR,,,,BELMONT,NC,28012
195405,E,422 HOLLY DR,,,,BELMONT,NC,28012
195407,E,414 HOLLY DR,,,,BELMONT,NC,28012
195408,E,310 BERRY CT,,,,BELMONT,NC,28012
195409,E,410 HOLLY DR,,,,BELMONT,NC,28012
195410,E,406 HOLLY DR,,,,BELMONT,NC,28012
195411,E,301 TREELINE DR,,,,BELMONT,NC,28012
195412,E,305 TREELINE DR,,,,BELMONT,NC,28012
195413,E,309 TREELINE DR,,,,BELMONT,NC,28012
195414,E,313 TREELINE DR,,,,BELMONT,NC,28012
195415,E,317 TREELINE DR,,,,BELMONT,NC,28012
195416,E,321 TREELINE DR,,,,BELMONT,NC,28012
195417,E,325 TREELINE DR,,,,BELMONT,NC,28012
195418,E,329 TREELINE DR,,,,BELMONT,NC,28012
195419,E,331 TREELINE DR,,,,BELMONT,NC,28012
195420,E,320 TREELINE DR,,,,BELMONT,NC,28012
195421,E,316 TREELINE DR,,,,BELMONT,NC,28012
195422,E,312 TREELINE DR,,,,BELMONT,NC,28012
195423,E,308 TREELINE DR,,,,BELMONT,NC,28012
195424,E,304 TREELINE DR,,,,BELMONT,NC,28012
195425,E,312 HOLLY DR,,,,BELMONT,NC,28012
195426,E,212 TREELINE DR,,,,BELMONT,NC,28012
195427,E,208 TREELINE DR,,,,BELMONT,NC,28012
195428,E,204 TREELINE DR,,,,BELMONT,NC,28012
195429,E,200 TREELINE DR,,,,BELMONT,NC,28012
195430,E,204 WOODRIDGE DR,,,,BELMONT,NC,28012
195431,E,206 WOODRIDGE DR,,,,BELMONT,NC,28012
195432,E,210 WOODRIDGE DR,,,,BELMONT,NC,28012
195433,E,214 WOODRIDGE DR,,,,BELMONT,NC,28012
195434,E,218 WOODRIDGE DR,,,,BELMONT,NC,28012
195435,E,222 WOODRIDGE DR,,,,BELMONT,NC,28012
195436,E,302 WOODRIDGE DR,,,,BELMONT,NC,28012
195437,E,306 WOODRIDGE DR,,,,BELMONT,NC,28012
195438,E,310 WOODRIDGE DR,,,,BELMONT,NC,28012
195439,E,311 WOODRIDGE DR,,,,BELMONT,NC,28012
195440,E,307 WOODRIDGE DR,,,,BELMONT,NC,28012
195441,E,303 WOODRIDGE DR,,,,BELMONT,NC,28012
195442,E,223 WOODRIDGE DR,,,,BELMONT,NC,28012
195443,E,219 WOODRIDGE DR,,,,BELMONT,NC,28012
195444,E,215 WOODRIDGE DR,,,,BELMONT,NC,28012
195445,E,211 WOODRIDGE DR,,,,BELMONT,NC,28012
195446,E,207 WOODRIDGE DR,,,,BELMONT,NC,28012
195447,E,203 WOODRIDGE DR,,,,BELMONT,NC,28012
195448,E,337 RIDGEWAY DR,,,,BELMONT,NC,28012
195449,E,335 RIDGEWAY DR,,,,BELMONT,NC,28012
195451,E,202 WOODRIDGE DR,,,,BELMONT,NC,28012
195454,E,350 EASTWOOD DR,,,,BELMONT,NC,28012
195456,E,1310 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195457,E,1308 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195458,E,1306 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195459,E,1304 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195460,E,1302 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195461,E,1300 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195463,E,103 TIMBERLANE DR,,,,BELMONT,NC,28012
195464,E,105 TIMBERLANE DR,,,,BELMONT,NC,28012
195465,E,201 TIMBERLANE DR,,,,BELMONT,NC,28012
195466,E,203 TIMBERLANE DR,,,,BELMONT,NC,28012
195467,E,205 TIMBERLANE DR,,,,BELMONT,NC,28012
195468,E,207 TIMBERLANE DR,,,,BELMONT,NC,28012
195469,E,208 TIMBERLANE DR,,,,BELMONT,NC,28012
195470,E,204 TIMBERLANE DR,,,,BELMONT,NC,28012
195471,E,202 TIMBERLANE DR,,,,BELMONT,NC,28012
195472,E,102 SOUTH FORK LN,,,,BELMONT,NC,28012
195473,E,102 TIMBERLANE DR,,,,BELMONT,NC,28012
195474,E,104 SOUTH FORK LN,,,,BELMONT,NC,28012
195475,E,106 SOUTH FORK LN,,,,BELMONT,NC,28012
195476,E,108 SOUTH FORK LN,,,,BELMONT,NC,28012
195477,E,110 SOUTH FORK LN,,,,BELMONT,NC,28012
195478,E,202 SOUTH FORK LN,,,,BELMONT,NC,28012
195479,E,204 SOUTH FORK LN,,,,BELMONT,NC,28012
195480,E,206 SOUTH FORK LN,,,,BELMONT,NC,28012
195481,E,208 SOUTH FORK LN,,,,BELMONT,NC,28012
195482,E,210 SOUTH FORK LN,,,,BELMONT,NC,28012
195483,E,212 SOUTH FORK LN,,,,BELMONT,NC,28012
195484,E,301 SOUTH FORK LN,,,,BELMONT,NC,28012
195485,E,217 SOUTH FORK LN,,,,BELMONT,NC,28012
195486,E,213 SOUTH FORK LN,,,,BELMONT,NC,28012
195487,E,209 SOUTH FORK LN,,,,BELMONT,NC,28012
195488,E,205 SOUTH FORK LN,,,,BELMONT,NC,28012
195489,E,201 SOUTH FORK LN,,,,BELMONT,NC,28012
195490,E,1700 CHESTERFIELD DR,,,,BELMONT,NC,28012
195491,E,105 SOUTH FORK LN,,,,BELMONT,NC,28012
195492,E,303 SOUTH FORK LN,,,,BELMONT,NC,28012
195493,E,1704 CHESTERFIELD DR,,,,BELMONT,NC,28012
195494,E,1800 CHESTERFIELD DR,,,,BELMONT,NC,28012
195495,E,1708 CHESTERFIELD DR,,,,BELMONT,NC,28012
195496,E,1712 CHESTERFIELD DR,,,,BELMONT,NC,28012
195497,E,1716 CHESTERFIELD DR,,,,BELMONT,NC,28012
195498,E,1720 CHESTERFIELD DR,,,,BELMONT,NC,28012
195499,E,1806 CHESTERFIELD DR,,,,BELMONT,NC,28012
195500,E,1812 CHESTERFIELD DR,,,,BELMONT,NC,28012
195501,E,1818 CHESTERFIELD DR,,,,BELMONT,NC,28012
195502,E,1900 CHESTERFIELD DR,,,,BELMONT,NC,28012
195503,E,1908 CHESTERFIELD DR,,,,BELMONT,NC,28012
195504,E,1916 CHESTERFIELD DR,,,,BELMONT,NC,28012
195505,E,1924 CHESTERFIELD DR,,,,BELMONT,NC,28012
195506,E,2300 CIMARRON BLVD,,,,BELMONT,NC,28012
195507,E,228 TIMBERLANE DR,,,,BELMONT,NC,28012
195508,E,226 TIMBERLANE DR,,,,BELMONT,NC,28012
195509,E,224 TIMBERLANE DR,,,,BELMONT,NC,28012
195510,E,222 TIMBERLANE DR,,,,BELMONT,NC,28012
195511,E,220 TIMBERLANE DR,,,,BELMONT,NC,28012
195513,E,216 TIMBERLANE DR,,,,BELMONT,NC,28012
195514,E,214 TIMBERLANE DR,,,,BELMONT,NC,28012
195515,E,212 TIMBERLANE DR,,,,BELMONT,NC,28012
195516,E,210 TIMBERLANE DR,,,,BELMONT,NC,28012
195517,E,209 TIMBERLANE DR,,,,BELMONT,NC,28012
195518,E,211 TIMBERLANE DR,,,,BELMONT,NC,28012
195519,E,213 TIMBERLANE DR,,,,BELMONT,NC,28012
195520,E,215 TIMBERLANE DR,,,,BELMONT,NC,28012
195521,E,217 TIMBERLANE DR,,,,BELMONT,NC,28012
195522,E,219 TIMBERLANE DR,,,,BELMONT,NC,28012
195523,E,221 TIMBERLANE DR,,,,BELMONT,NC,28012
195524,E,223 TIMBERLANE DR,,,,BELMONT,NC,28012
195525,E,225 TIMBERLANE DR,,,,BELMONT,NC,28012
195526,E,2202 CIMARRON BLVD,,,,BELMONT,NC,28012
195527,E,218 TIMBERLANE DR,,,,BELMONT,NC,28012
195528,E,1312 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195529,E,1314 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195530,E,1316 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195531,E,1318 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195532,E,1320 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195533,E,1322 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195534,E,1324 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195535,E,1326 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195536,E,1328 ARMSTRONG FORD RD,,,,BELMONT,NC,28012
195537,E,2200 U CIMARRON BLVD,,,,BELMONT,NC,28012
195538,E,2201 CIMARRON BLVD,,,,BELMONT,NC,28012
195539,E,2203 CIMARRON BLVD,,,,BELMONT,NC,28012
195540,E,2205 CIMARRON BLVD,,,,BELMONT,NC,28012
195541,E,2301 CIMARRON BLVD,,,,BELMONT,NC,28012
195542,E,2303 CIMARRON BLVD,,,,BELMONT,NC,28012
195543,E,2305 CIMARRON BLVD,,,,BELMONT,NC,28012
195544,E,2307 CIMARRON BLVD,,,,BELMONT,NC,28012
195545,E,2501 SHAGGY BARK CT,,,,BELMONT,NC,28012
195546,E,2503 SHAGGY BARK CT,,,,BELMONT,NC,28012
195547,E,2509 SHAGGY BARK CT,,,,BELMONT,NC,28012
195548,E,2515 SHAGGY BARK CT,,,,BELMONT,NC,28012
195549,E,2523 SHAGGY BARK CT,,,,BELMONT,NC,28012
195550,E,2529 SHAGGY BARK CT,,,,BELMONT,NC,28012
195551,E,2535 SHAGGY BARK CT,,,,BELMONT,NC,28012
195552,E,2541 SHAGGY BARK CT,,,,BELMONT,NC,28012
195553,E,2547 SHAGGY BARK CT,,,,BELMONT,NC,28012
195555,E,2559 SHAGGY BARK CT,,,,BELMONT,NC,28012
195556,E,2565 SHAGGY BARK CT,,,,BELMONT,NC,28012
195559,E,2566 SHAGGY BARK CT,,,,BELMONT,NC,28012
195560,E,2560 SHAGGY BARK CT,,,,BELMONT,NC,28012
195561,E,2554 SHAGGY BARK CT,,,,BELMONT,NC,28012
195562,E,2548 SHAGGY BARK CT,,,,BELMONT,NC,28012
